# zone  xi   theta  dtheta/dxi
354   2.178253      0.432805      -0.367765
355   2.184389      0.430549      -0.367439
356   2.190525      0.428294      -0.367107
357   2.196660      0.426042      -0.366770
358   2.202796      0.423791      -0.366426
359   2.208932      0.421543      -0.366077
360   2.215068      0.419297      -0.365721
361   2.221204      0.417053      -0.365360
362   2.227340      0.414811      -0.364994
363   2.233476      0.412571      -0.364621
364   2.239612      0.410334      -0.364243
365   2.245748      0.408099      -0.363860
366   2.251884      0.405866      -0.363470
367   2.258020      0.403636      -0.363076
368   2.264156      0.401408      -0.362675
369   2.270292      0.399183      -0.362270
370   2.276427      0.396960      -0.361858
371   2.282563      0.394740      -0.361442
372   2.288699      0.392522      -0.361020
373   2.294835      0.390307      -0.360593
374   2.300971      0.388094      -0.360161
375   2.307107      0.385884      -0.359723
376   2.313243      0.383677      -0.359280
377   2.319379      0.381472      -0.358832
378   2.325515      0.379271      -0.358379
379   2.331651      0.377072      -0.357921
380   2.337787      0.374876      -0.357458
381   2.343923      0.372682      -0.356990
382   2.350059      0.370492      -0.356517
383   2.356194      0.368304      -0.356039
384   2.362330      0.366120      -0.355556
385   2.368466      0.363938      -0.355069
386   2.374602      0.361759      -0.354576
387   2.380738      0.359584      -0.354079
388   2.386874      0.357411      -0.353577
389   2.393010      0.355241      -0.353071
390   2.399146      0.353075      -0.352560
391   2.405282      0.350912      -0.352044
392   2.411418      0.348752      -0.351524
393   2.417554      0.346595      -0.350999
394   2.423690      0.344441      -0.350470
395   2.429826      0.342291      -0.349936
396   2.435961      0.340143      -0.349398
397   2.442097      0.337999      -0.348855
398   2.448233      0.335859      -0.348309
399   2.454369      0.333722      -0.347758
400   2.460505      0.331588      -0.347202
401   2.466641      0.329457      -0.346643
402   2.472777      0.327331      -0.346079
403   2.478913      0.325207      -0.345512
404   2.485049      0.323087      -0.344940
405   2.491185      0.320970      -0.344364
406   2.497321      0.318857      -0.343784
407   2.503457      0.316748      -0.343200
408   2.509593      0.314642      -0.342613
409   2.515728      0.312540      -0.342021
410   2.521864      0.310441      -0.341426
411   2.528000      0.308346      -0.340827
412   2.534136      0.306255      -0.340224
413   2.540272      0.304167      -0.339617
414   2.546408      0.302084      -0.339006
415   2.552544      0.300004      -0.338392
416   2.558680      0.297927      -0.337775
417   2.564816      0.295855      -0.337154
418   2.570952      0.293786      -0.336529
419   2.577088      0.291721      -0.335901
