#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
271, 9.9999309727672370E-001, 6.5929772000965692E-001, -4.5075164311262865E+000, 5.8054991538501755E+000, 9.4880701083589400E+000, 9.4242493087654928E+000, 2.0247040304530652E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5374956470584991E+000, 1.0711396558458222E+000, 2.4276751452722901E-016, 0.0000000000000000E+000, 2.0299875876057263E-001, 2.0299875876057263E-001, 3.1066983764687905E-001, 2.0299876562862909E-001 
272, 9.9999290443797362E-001, 6.5909788518471846E-001, -4.4946808645919791E+000, 5.8086715251137280E+000, 9.5036286305852613E+000, 9.4402602650037988E+000, 2.0247040257800494E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5379478250646748E+000, 1.0661680883793014E+000, 2.7376765727222774E-016, 0.0000000000000000E+000, 2.0333823071720658E-001, 2.0333823071720658E-001, 3.1096157275614816E-001, 2.0333823490378924E-001 
273, 9.9999261517984861E-001, 6.5880636820504457E-001, -4.4786227553495594E+000, 5.8126468274084910E+000, 9.5231067120176576E+000, 9.4602975811717158E+000, 2.0247040187484938E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5385059771063330E+000, 1.0602410047446442E+000, 3.1813764954015119E-016, 0.0000000000000000E+000, 2.0384355765993978E-001, 2.0384355765993978E-001, 3.1132189953608519E-001, 2.0384355493662723E-001 
274, 9.9999227771203603E-001, 6.5847790821016039E-001, -4.4635998634651290E+000, 5.8163663573248128E+000, 9.5413343558474679E+000, 9.4790441103633718E+000, 2.0247040105131615E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5390217051326709E+000, 1.0550534286603857E+000, 3.6602101178637261E-016, 0.0000000000000000E+000, 2.0444715169077349E-001, 2.0444715169077349E-001, 3.1165680864912182E-001, 2.0444714255287832E-001 
275, 9.9999200452380677E-001, 6.5822053223419963E-001, -4.4458215066491222E+000, 5.8208295462481967E+000, 9.5629970891446270E+000, 9.5012914715486385E+000, 2.0247040038228068E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5395947173982725E+000, 1.0488820666242775E+000, 4.3265422387574573E-016, 0.0000000000000000E+000, 2.0493080426218854E-001, 2.0493080426218854E-001, 3.1203543933186045E-001, 2.0493079202159750E-001 
276, 9.9999151964376387E-001, 6.5778098327731260E-001, -4.4248662083865646E+000, 5.8260759376744033E+000, 9.5885180019921954E+000, 9.5275006548024646E+000, 2.0247039918948270E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5402639303770957E+000, 1.0423806135284890E+000, 5.2641299594255385E-016, 0.0000000000000000E+000, 2.0578517183628189E-001, 2.0578517183628189E-001, 3.1248674803145104E-001, 2.0578516796761170E-001 
277, 9.9999106535730831E-001, 6.5738743581854064E-001, -4.4110217164509855E+000, 5.8295373915190920E+000, 9.6053759656694009E+000, 9.5448111821315109E+000, 2.0247039806608576E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5407052183370460E+000, 1.0384852831554900E+000, 5.9896295635432018E-016, 0.0000000000000000E+000, 2.0661985893736420E-001, 2.0661985893736420E-001, 3.1278640809685382E-001, 2.0661986586719835E-001 
278, 9.9999087066311310E-001, 6.5722374972049058E-001, -4.3971047778696608E+000, 5.8330891525520725E+000, 9.6224248131899870E+000, 9.5622837039905555E+000, 2.0247039758292784E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5411184381469243E+000, 1.0342708905453071E+000, 6.8316306542359955E-016, 0.0000000000000000E+000, 2.0696431751126584E-001, 2.0696431751126584E-001, 3.1306766886230536E-001, 2.0696433386269825E-001 
279, 9.9999038392762496E-001, 6.5682667165313169E-001, -4.3792685360879213E+000, 5.8376147490841426E+000, 9.6442406431933385E+000, 9.5846483814411414E+000, 2.0247039637014193E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5416660014992849E+000, 1.0293851164091015E+000, 8.0767290094249683E-016, 0.0000000000000000E+000, 2.0778208738289813E-001, 2.0778208738289813E-001, 3.1343751940245407E-001, 2.0778210879603831E-001 
280, 9.9998996209020197E-001, 6.5649555266367876E-001, -4.3658311999498673E+000, 5.8410352319184016E+000, 9.6606936765548976E+000, 9.6015074904938231E+000, 2.0247039531359842E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5420813852950497E+000, 1.0258184117380924E+000, 9.1625125894707384E-016, 0.0000000000000000E+000, 2.0848425696302245E-001, 2.0848425696302245E-001, 3.1371639127432932E-001, 2.0848426010930771E-001 
281, 9.9998967004890915E-001, 6.5627287500014142E-001, -4.3546276642445632E+000, 5.8439103467249254E+000, 9.6744458935598896E+000, 9.6155874988874022E+000, 2.0247039457925282E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5424246023858492E+000, 1.0227878377724935E+000, 1.0183093489555814E-015, 0.0000000000000000E+000, 2.0894445433757525E-001, 2.0894445433757525E-001, 3.1394534732658030E-001, 2.0894444130899642E-001 
282, 9.9998934555858376E-001, 6.5603136958245112E-001, -4.3398539035658779E+000, 5.8477315230268454E+000, 9.6926252706649283E+000, 9.6341854084536251E+000, 2.0247039376055436E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5428754897836785E+000, 1.0187200178966038E+000, 1.1711048126600338E-015, 0.0000000000000000E+000, 2.0941966280014329E-001, 2.0941966280014329E-001, 3.1424294397300939E-001, 2.0941964317526690E-001 
283, 9.9998882637406317E-001, 6.5565708950787360E-001, -4.3266761240297633E+000, 5.8511160224029144E+000, 9.7088112020678690E+000, 9.6507514121472937E+000, 2.0247039244457883E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5432993053584205E+000, 1.0153848415483031E+000, 1.3254009692194673E-015, 0.0000000000000000E+000, 2.1015035510544258E-001, 2.1015035510544258E-001, 3.1451817739009674E-001, 2.1015034035285024E-001 
284, 9.9998856678180281E-001, 6.5547519344925542E-001, -4.3176437877436848E+000, 5.8534599839235248E+000, 9.7199402646251176E+000, 9.6621306696509066E+000, 2.0247039178390129E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5435860062377285E+000, 1.0129976238046166E+000, 1.4434909631404974E-015, 0.0000000000000000E+000, 2.1050195404711650E-001, 2.1050195404711650E-001, 3.1470174266428524E-001, 2.1050194807845252E-001 
285, 9.9998827474051000E-001, 6.5527450732674974E-001, -4.3052764255802938E+000, 5.8566906547437636E+000, 9.7352093820042978E+000, 9.6777328375623224E+000, 2.0247039103841260E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5439779754441874E+000, 1.0096871232948388E+000, 1.6230577631005793E-015, 0.0000000000000000E+000, 2.1086906710737957E-001, 2.1086906710737957E-001, 3.1494975539175707E-001, 2.1086906738217473E-001 
286, 9.9998778800502186E-001, 6.5494882947958410E-001, -4.2917671103763402E+000, 5.8602087408763603E+000, 9.7518752899463532E+000, 9.6947644913144977E+000, 2.0247038979059074E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5444214265136589E+000, 1.0063002238460510E+000, 1.8437888326994538E-015, 0.0000000000000000E+000, 2.1146189909709909E-001, 2.1146189909709909E-001, 3.1522766891630610E-001, 2.1146190348349286E-001 
287, 9.9998739552095217E-001, 6.5469374789866119E-001, -4.2754103552823617E+000, 5.8645244434307360E+000, 9.7721333673234128E+000, 9.7154418749299047E+000, 2.0247038877967676E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5449498854629544E+000, 1.0020565693069137E+000, 2.1540963054985371E-015, 0.0000000000000000E+000, 2.1192005909495371E-001, 2.1192005909495371E-001, 3.1555559282602730E-001, 2.1192006669466659E-001 
288, 9.9998667545087794E-001, 6.5424195930900331E-001, -4.2587717933197471E+000, 5.8688799753189427E+000, 9.7926956950697566E+000, 9.7364402742290377E+000, 2.0247038691385049E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5455162379848890E+000, 9.9825131784025878E-001, 2.5199530508234293E-015, 0.0000000000000000E+000, 2.1273438592376981E-001, 2.1273438592376981E-001, 3.1590544365840839E-001, 2.1273440159751977E-001 
289, 9.9998621683047151E-001, 6.5396432729122833E-001, -4.2472200072569484E+000, 5.8719284809094958E+000, 9.8070065585952992E+000, 9.7510430791362808E+000, 2.0247038571838864E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5459068620782148E+000, 9.9561579149607871E-001, 2.8110850838481883E-015, 0.0000000000000000E+000, 2.1325117096383508E-001, 2.1325117096383508E-001, 3.1614469958136893E-001, 2.1325118504885784E-001 
290, 9.9998582372726608E-001, 6.5373219495602941E-001, -4.2343529689245347E+000, 5.8753525981839134E+000, 9.8229871029082059E+000, 9.7673368184572311E+000, 2.0247038468931620E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5463359877082934E+000, 9.9265862867294674E-001, 3.1768149989156893E-015, 0.0000000000000000E+000, 2.1367097204896399E-001, 2.1367097204896399E-001, 3.1640521649044767E-001, 2.1367097704568913E-001 
291, 9.9998523407245787E-001, 6.5339349428424243E-001, -4.2202742999874561E+000, 5.8790945191990378E+000, 9.8404681794931861E+000, 9.7851603774595528E+000, 2.0247038313817666E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5468116208431981E+000, 9.8964371096365245E-001, 3.6301939581679187E-015, 0.0000000000000000E+000, 2.1428221923440061E-001, 2.1428221923440061E-001, 3.1669267514899230E-001, 2.1428221121217367E-001 
292, 9.9998470993485056E-001, 6.5310139459659133E-001, -4.2067315970986767E+000, 5.8827167054067946E+000, 9.8573171520315999E+000, 9.8023289184947640E+000, 2.0247038175215701E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5472611868136787E+000, 9.8677675666759601E-001, 4.1285897806432943E-015, 0.0000000000000000E+000, 2.1481277431859624E-001, 2.1481277431859624E-001, 3.1696371792932676E-001, 2.1481275716900336E-001 
293, 9.9998412028004235E-001, 6.5278219830153994E-001, -4.1959239085440174E+000, 5.8856013427379805E+000, 9.8707570061063237E+000, 9.8160247743896374E+000, 2.0247038018490017E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5476211196246266E+000, 9.8464488794622063E-001, 4.5733119047081481E-015, 0.0000000000000000E+000, 2.1539392838118815E-001, 2.1539392838118815E-001, 3.1718177210944903E-001, 2.1539391404993441E-001 
