#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
435, 9.9779484147401143E-001, 5.7163813244000783E-001, -2.3504333287618779E+000, 6.4651109253194301E+000, 1.2284654852955319E+001, 1.2241324738927112E+001, 2.0245484831839629E+004, 6.9999999999998419E-001, 2.8000000000001585E-001, 2.0000000000000018E-002, 1.5660737605809552E+000, 8.4274100807321006E-001, 7.5668662135268189E-008, 2.3934860720592924E-020, 2.3115103079973023E-001, 2.3115103079973023E-001, 3.2841563371347077E-001, 2.3115102694393969E-001 
436, 9.9770001205334991E-001, 5.7037948961939955E-001, -2.3330825611525410E+000, 6.4702419817464900E+000, 1.2306950699927667E+001, 1.2263806042944147E+001, 2.0245399175311410E+004, 6.9999999999998208E-001, 2.8000000000001801E-001, 1.9999999999999907E-002, 1.5663424168465341E+000, 8.3553987867606350E-001, 8.5761686637982155E-008, 3.6030883196897829E-020, 2.3010489115570729E-001, 2.3010489115570729E-001, 3.2859672892538339E-001, 2.3010488844963875E-001 
437, 9.9760187086581398E-001, 5.6911695964583497E-001, -2.3157946766257624E+000, 6.4753237713111762E+000, 1.2329127479693710E+001, 1.2286175555508857E+001, 2.0245309664577329E+004, 6.9999999999997975E-001, 2.8000000000002045E-001, 1.9999999999999796E-002, 1.5666215305877942E+000, 8.2844829063991665E-001, 9.7072577247005236E-008, 5.3961745264912144E-020, 2.2911895424968728E-001, 2.2911895424968728E-001, 3.2878651883161247E-001, 2.2911894714821771E-001 
438, 9.9750030469156070E-001, 5.6785034265461809E-001, -2.2985670784842762E+000, 6.4803593638736965E+000, 1.2351191934340452E+001, 1.2308439335883168E+001, 2.0245216155492562E+004, 6.9999999999997686E-001, 2.8000000000002312E-001, 2.0000000000000018E-002, 1.5669100498218846E+000, 8.2147189447362912E-001, 1.0973758878362437E-007, 8.0423385271924328E-020, 2.2819178823349504E-001, 2.2819178823349504E-001, 3.2898377234411053E-001, 2.2819178215200914E-001 
439, 9.9739519646648866E-001, 5.6657944204825572E-001, -2.2813963252828886E+000, 6.4853516686689447E+000, 1.2373150415506629E+001, 1.2330603086794081E+001, 2.0245118493013779E+004, 6.9999999999997387E-001, 2.8000000000002634E-001, 1.9999999999999796E-002, 1.5672074005444867E+000, 8.1461559569049757E-001, 1.2390782993951377E-007, 1.1930985194959661E-019, 2.2732187734357315E-001, 2.2732187734357315E-001, 3.2918712463765643E-001, 2.2732187885872182E-001 
440, 9.9728642527973455E-001, 5.6530406851655879E-001, -2.2642788487906831E+000, 6.4903034347409081E+000, 1.2395008873787750E+001, 1.2352672142860904E+001, 2.0245016509091976E+004, 6.9999999999997042E-001, 2.8000000000002967E-001, 1.9999999999999907E-002, 1.5675134574654956E+000, 8.0788294889271373E-001, 1.3975071250338883E-007, 1.7622751185272885E-019, 2.2650765567445930E-001, 2.2650765567445930E-001, 3.2939613438960730E-001, 2.2650766094671751E-001 
441, 9.9717386654019347E-001, 5.6402404377410809E-001, -2.2472121457113658E+000, 6.4952172393734671E+000, 1.2416772816457691E+001, 1.2374651428890191E+001, 2.0244910030000883E+004, 6.9999999999996643E-001, 2.8000000000003361E-001, 2.0000000000000018E-002, 1.5678281265327276E+000, 8.0127522478382529E-001, 1.5745122706098272E-007, 2.5922240300715669E-019, 2.2574727640739528E-001, 2.2574727640739528E-001, 3.2961127928082806E-001, 2.2574727890737792E-001 
442, 9.9705739236273516E-001, 5.6273920279300005E-001, -2.2301946181550032E+000, 6.5000954686008150E+000, 1.2438447238497211E+001, 1.2396545391834332E+001, 2.0244798882013052E+004, 6.9999999999996221E-001, 2.8000000000003783E-001, 2.0000000000000018E-002, 1.5681512122037475E+000, 7.9479185888209924E-001, 1.7721358093400783E-007, 3.7980666424211346E-019, 2.2503852461915866E-001, 2.2503852461915866E-001, 3.2983199880797703E-001, 2.2503852271947797E-001 
443, 9.9693687217492588E-001, 5.6144939808477057E-001, -2.2132250107851670E+000, 6.5049402863596661E+000, 1.2460036534175710E+001, 1.2418357915768601E+001, 2.0244682888417105E+004, 6.9999999999995732E-001, 2.8000000000004271E-001, 2.0000000000000018E-002, 1.5684820524353793E+000, 7.8842778076195674E-001, 1.9926309047723555E-007, 5.5440261522191364E-019, 2.2437849961822343E-001, 2.2437849961822343E-001, 3.3005637863621345E-001, 2.2437849539740859E-001 
444, 9.9681217357075125E-001, 5.6015450719611382E-001, -2.1963021020297764E+000, 6.5097535725969307E+000, 1.2481544411776339E+001, 1.2440092252533468E+001, 2.0244561865057683E+004, 6.9999999999995188E-001, 2.8000000000004821E-001, 1.9999999999999907E-002, 1.5688190839312688E+000, 7.8216539499069626E-001, 2.2384804467027753E-007, 8.0636604586328963E-019, 2.2376212522878680E-001, 2.2376212522878680E-001, 3.3028344531168591E-001, 2.2376212387941077E-001 
445, 9.9668316318942973E-001, 5.5885444012512542E-001, -2.1794247190406075E+000, 6.5145368860360993E+000, 1.2502973867093043E+001, 1.2461751006514927E+001, 2.0244435617059651E+004, 6.9999999999994589E-001, 2.8000000000005421E-001, 1.9999999999999907E-002, 1.5691603568263737E+000, 7.7598645711265934E-001, 2.5124155838601515E-007, 1.1688112134796308E-018, 2.2318265469114154E-001, 2.2318265469114154E-001, 3.3051356644699953E-001, 2.2318265818226213E-001 
446, 9.9654970716629532E-001, 5.5754914134370814E-001, -2.1625923947815777E+000, 6.5192915089194079E+000, 1.2524327326051152E+001, 1.2483336272300969E+001, 2.0244303940150650E+004, 6.9999999999993923E-001, 2.8000000000006098E-001, 1.9999999999999796E-002, 1.5695045039529820E+000, 7.6987451822165165E-001, 2.8174336804878997E-007, 1.6885453215079958E-018, 2.2263371699544388E-001, 2.2263371699544388E-001, 3.3074724257007398E-001, 2.2263371910348775E-001 
447, 9.9641167000736464E-001, 5.5623857434431756E-001, -2.1458052215256886E+000, 6.5240185300511593E+000, 1.2545606936149220E+001, 1.2504849920764926E+001, 2.0244166628660001E+004, 6.9999999999993168E-001, 2.8000000000006858E-001, 1.9999999999999796E-002, 1.5698513548491126E+000, 7.6381465016649408E-001, 3.1568229765369291E-007, 2.4315392661010711E-018, 2.2210960977839964E-001, 2.2210960977839964E-001, 3.3098440872172369E-001, 2.2210960699269172E-001 
448, 9.9626891274559659E-001, 5.5492270157580581E-001, -2.1290622928776961E+000, 6.5287189208457148E+000, 1.2566814825208059E+001, 1.2526293852069079E+001, 2.0244023472515099E+004, 6.9999999999992313E-001, 2.8000000000007685E-001, 2.0000000000000018E-002, 1.5702022940659459E+000, 7.5779455048251110E-001, 3.5342019140015928E-007, 3.4905266371111176E-018, 2.2160539675530752E-001, 2.2160539675530752E-001, 3.3122506235101146E-001, 2.2160539187346195E-001 
449, 9.9612129151797835E-001, 5.5360147527393344E-001, -2.1123614901703922E+000, 6.5333935993179688E+000, 1.2587953299457524E+001, 1.2547670186905897E+001, 2.0243874245251580E+004, 6.9999999999991380E-001, 2.8000000000008635E-001, 1.9999999999999796E-002, 1.5705586512448897E+000, 7.5180428054609738E-001, 3.9535578853750967E-007, 4.9955317655373301E-018, 2.2111701713900314E-001, 2.2111701713900314E-001, 3.3146976359383751E-001, 2.2111701659323682E-001 
450, 9.9596865584556427E-001, 5.5227482809623263E-001, -2.0957003270188581E+000, 6.5380434699620631E+000, 1.2609024956940031E+001, 1.2568981374359524E+001, 2.0243718699834357E+004, 6.9999999999990337E-001, 2.8000000000009678E-001, 1.9999999999999796E-002, 1.5709207439389350E+000, 7.4583532413164111E-001, 4.4192810700328368E-007, 7.1284160438678751E-018, 2.2064109613062577E-001, 2.2064109613062577E-001, 3.3171839202784248E-001, 2.2064109740247978E-001 
451, 9.9581084783898133E-001, 5.5094267095332439E-001, -2.0790766836574806E+000, 6.5426694259998772E+000, 1.2630032655535729E+001, 1.2590230155018846E+001, 2.0243556577638017E+004, 6.9999999999989182E-001, 2.8000000000010827E-001, 1.9999999999999907E-002, 1.5712879672763858E+000, 7.3987982890189807E-001, 4.9361974152353397E-007, 1.0142923361703532E-017, 2.2017468061334378E-001, 2.2017468061334378E-001, 3.3196998694741991E-001, 2.2017467875728161E-001 
452, 9.9564770227931387E-001, 5.4960489642320354E-001, -2.0624889841427381E+000, 6.5472723342129404E+000, 1.2650979414317217E+001, 1.2611419457831685E+001, 2.0243387615482297E+004, 6.9999999999987883E-001, 2.8000000000012121E-001, 2.0000000000000018E-002, 1.5716589708540309E+000, 7.3393056340869001E-001, 5.5096060200510043E-007, 1.4392242910409549E-017, 2.1971510243518591E-001, 2.1971510243518591E-001, 3.3222358105710897E-001, 2.1971509598778874E-001 
453, 9.9547904691206435E-001, 5.4826138287271042E-001, -2.0459355598695570E+000, 6.5518530267187982E+000, 1.2671868335580632E+001, 1.2632552317083768E+001, 2.0243211542516859E+004, 6.9999999999986462E-001, 2.8000000000013553E-001, 1.9999999999999796E-002, 1.5720329651155005E+000, 7.2798182534820333E-001, 6.1453298109343165E-007, 2.0366861183699754E-017, 2.1926008653351414E-001, 2.1926008653351414E-001, 3.3247940764167389E-001, 2.1926008077275197E-001 
454, 9.9530470245145297E-001, 5.4691199765614251E-001, -2.0294144292044902E+000, 6.5564123358069821E+000, 1.2692702560236501E+001, 1.2653631809816613E+001, 2.0243028071722296E+004, 6.9999999999984885E-001, 2.8000000000015135E-001, 1.9999999999999796E-002, 1.5724100564903396E+000, 7.2204049961831906E-001, 6.8497730020646283E-007, 2.8746498227079089E-017, 2.1880947951154336E-001, 2.1880947951154336E-001, 3.3273801902455291E-001, 2.1880948123192787E-001 
455, 9.9512448252235852E-001, 5.4555660028717001E-001, -2.0129235724888064E+000, 6.5609511646188023E+000, 1.2713485212267932E+001, 1.2674660968557168E+001, 2.0242836900333125E+004, 6.9999999999983109E-001, 2.8000000000016911E-001, 1.9999999999999796E-002, 1.5727906137676504E+000, 7.1612763739974294E-001, 7.6299836025196405E-007, 4.0471342615968765E-017, 2.1836712320368956E-001, 2.1836712320368956E-001, 3.3299891482978239E-001, 2.1836713099493216E-001 
456, 9.9493819396649785E-001, 5.4419504727844692E-001, -1.9964607537143815E+000, 6.5654705193246805E+000, 1.2734219352304915E+001, 1.2695642719579382E+001, 2.0242637712205233E+004, 6.9999999999981144E-001, 2.8000000000018860E-001, 2.0000000000000018E-002, 1.5731747426930014E+000, 7.1026395165529344E-001, 8.4937284056272646E-007, 5.6839655145560839E-017, 2.1793891986455394E-001, 2.1793891986455394E-001, 3.3326129983097713E-001, 2.1793892884231172E-001 
457, 9.9474563678421857E-001, 5.4282719444131267E-001, -1.9800234574181748E+000, 6.5699715019587686E+000, 1.2754907976258517E+001, 1.2716579885569780E+001, 2.0242430173770874E+004, 6.9999999999978968E-001, 2.8000000000021036E-001, 2.0000000000000018E-002, 1.5735618990202569E+000, 7.0446891989240601E-001, 9.4495726483533832E-007, 7.9641294588398116E-017, 2.1753046668394335E-001, 2.1753046668394335E-001, 3.3352562963321636E-001, 2.1753047708075865E-001 
458, 9.9454660374262271E-001, 5.4145289697083665E-001, -1.9636098770383656E+000, 6.5744552959675042E+000, 1.2775554000555086E+001, 1.2737475176243930E+001, 2.0242213938741435E+004, 6.9999999999976548E-001, 2.8000000000023456E-001, 2.0000000000000018E-002, 1.5739513485793863E+000, 6.9876029626772052E-001, 1.0506943366602145E-006, 1.1134000592990292E-016, 2.1714685882880902E-001, 2.1714685882880902E-001, 3.3379272416432260E-001, 2.1714686804880037E-001 
459, 9.9434088056403525E-001, 5.4007201050527154E-001, -1.9472191780998551E+000, 6.5789231435216253E+000, 1.2796160214462088E+001, 1.2758331145899103E+001, 2.0241988660166280E+004, 6.9999999999973894E-001, 2.8000000000026110E-001, 2.0000000000000018E-002, 1.5743427409668003E+000, 6.9315401003006027E-001, 1.1676204955903078E-006, 1.5532214332056213E-016, 2.1679261178429227E-001, 2.1679261178429227E-001, 3.3406267997984507E-001, 2.1679261171987815E-001 
460, 9.9412824626136553E-001, 5.3868439189141160E-001, -1.9308513101121507E+000, 6.5833763299513715E+000, 1.2816729256386479E+001, 1.2779150174363970E+001, 2.0241753990385194E+004, 6.9999999999970930E-001, 2.8000000000029068E-001, 2.0000000000000018E-002, 1.5747361953108097E+000, 6.8766459302818594E-001, 1.2968751048620643E-006, 2.1623587583522023E-016, 2.1647172058071237E-001, 2.1647172058071237E-001, 3.3433495201722335E-001, 2.1647170895857284E-001 
461, 9.9390847301814378E-001, 5.3728989711294528E-001, -1.9145059816284067E+000, 6.5878161803246940E+000, 1.2837263627092092E+001, 1.2799934483663899E+001, 2.0241509575463555E+004, 6.9999999999967644E-001, 2.8000000000032355E-001, 2.0000000000000018E-002, 1.5751319522416805E+000, 6.8230598916007135E-001, 1.4397136252818806E-006, 3.0045415031654466E-016, 2.1618785902779369E-001, 2.1618785902779369E-001, 3.3460915035793609E-001, 2.1618784706165675E-001 
462, 9.9368132582475166E-001, 5.3588838091524160E-001, -1.8981821450443666E+000, 6.5922440700111675E+000, 1.2857765747920197E+001, 1.2820686198594258E+001, 2.0241255031645578E+004, 6.9999999999964024E-001, 2.8000000000035991E-001, 1.9999999999999796E-002, 1.5755294410484855E+000, 6.7709214414677643E-001, 1.5975222998553856E-006, 4.1670643672002489E-016, 2.1594460699601140E-001, 2.1594460699601140E-001, 3.3488476413425194E-001, 2.1594459978328054E-001 
463, 9.9344656134780585E-001, 5.3447969367648607E-001, -1.8859286327475298E+000, 6.5955432581711362E+000, 1.2873126335767184E+001, 1.2836239125883402E+001, 2.0240989945328252E+004, 6.9999999999961060E-001, 2.8000000000038960E-001, 1.9999999999999796E-002, 1.5758368825809408E+000, 6.7335806321357938E-001, 1.7263335978108395E-006, 5.3147327850567502E-016, 2.1575308366173354E-001, 2.1575308366173354E-001, 3.3509780524097976E-001, 2.1575308137053151E-001 
464, 9.9332524423320545E-001, 5.3376678413467926E-001, -1.8736669631225471E+000, 6.5988848035123251E+000, 1.2888548087121434E+001, 1.2851842629424921E+001, 2.0240852193424780E+004, 6.9999999999957818E-001, 2.8000000000042186E-001, 2.0000000000000018E-002, 1.5761276370224999E+000, 6.6955164257797561E-001, 1.8664874545360919E-006, 6.7934918998283915E-016, 2.1567110513625978E-001, 2.1567110513625978E-001, 3.3529894208961902E-001, 2.1567110641576567E-001 
465, 9.9307854413107544E-001, 5.3234701499858950E-001, -1.8573922552172819E+000, 6.6032891714947342E+000, 1.2908979967570277E+001, 1.2872521844734928E+001, 2.0240570438398659E+004, 6.9999999999953166E-001, 2.8000000000046865E-001, 1.9999999999999685E-002, 1.5765235175310315E+000, 6.6475500427636780E-001, 2.0688480598755440E-006, 9.3832315823145989E-016, 2.1553587365864507E-001, 2.1553587365864507E-001, 3.3557175402556344E-001, 2.1553587703313951E-001 
466, 9.9282357712543312E-001, 5.3091967207310575E-001, -1.8452415841975971E+000, 6.6065552171876707E+000, 1.2924207606915685E+001, 1.2887938430643624E+001, 2.0240277043340131E+004, 6.9999999999949336E-001, 2.8000000000050673E-001, 1.9999999999999907E-002, 1.5768264560575622E+000, 6.6135487909859947E-001, 2.2330217730882208E-006, 1.1917065036510359E-015, 2.1546421932267837E-001, 2.1546421932267837E-001, 3.3578043430477855E-001, 2.1546422230140203E-001 
467, 9.9269399310732043E-001, 5.3020902590063590E-001, -1.8371175263678350E+000, 6.6087527806836643E+000, 1.2934406585063204E+001, 1.2898259891481517E+001, 2.0240127111235888E+004, 6.9999999999946627E-001, 2.8000000000053382E-001, 1.9999999999999907E-002, 1.5770231883454986E+000, 6.5907549123068099E-001, 2.3503016946722153E-006, 1.3990684269548413E-015, 2.1544573717665946E-001, 2.1544573717665946E-001, 3.3591629912970922E-001, 2.1544574106333356E-001 
468, 9.9256006949571152E-001, 5.2948461054254481E-001, -1.8248971291640852E+000, 6.6120787723811185E+000, 1.2949774036031648E+001, 1.2913805976173363E+001, 2.0239971578915778E+004, 6.9999999999942253E-001, 2.8000000000057773E-001, 1.9999999999999796E-002, 1.5773109308328397E+000, 6.5563823013731204E-001, 2.5388942794526951E-006, 1.7824047197876720E-015, 2.1542894155548184E-001, 2.1542894155548184E-001, 3.3611572342845375E-001, 2.1542894399087995E-001 
469, 9.9228774140768827E-001, 5.2804165734726149E-001, -1.8086765844811741E+000, 6.6164665102104880E+000, 1.2970139702358443E+001, 1.2934413827687045E+001, 2.0239653496273080E+004, 6.9999999999935925E-001, 2.8000000000064101E-001, 1.9999999999999796E-002, 1.5777034122789371E+000, 6.5128059501875757E-001, 2.8110904101792883E-006, 2.4517551851207437E-015, 2.1542027455874432E-001, 2.1542027455874432E-001, 3.3638856227968150E-001, 2.1542026796828750E-001 
470, 9.9200630765427211E-001, 5.2659069447575657E-001, -1.7965658369564046E+000, 6.6197227909261871E+000, 1.2985322079949524E+001, 1.2949780670694045E+001, 2.0239322336170979E+004, 6.9999999999930784E-001, 2.8000000000069225E-001, 1.9999999999999907E-002, 1.5780041177428554E+000, 6.4816772137152456E-001, 3.0318375306542918E-006, 3.1048732088468638E-015, 2.1545752933625681E-001, 2.1545752933625681E-001, 3.3659752811845567E-001, 2.1545752091072368E-001 
471, 9.9186327837727029E-001, 5.2586816441767636E-001, -1.7844452848282888E+000, 6.6230239306080030E+000, 1.3000569981667502E+001, 1.2965202382634724E+001, 2.0239153126495054E+004, 6.9999999999925178E-001, 2.8000000000074826E-001, 2.0000000000000018E-002, 1.5782884067238694E+000, 6.4496469087634312E-001, 3.2717054505267736E-006, 3.9412143648018555E-015, 2.1548205547536989E-001, 2.1548205547536989E-001, 3.3679463836745654E-001, 2.1548205109642019E-001 
472, 9.9156767798739931E-001, 5.2440500190015238E-001, -1.7722874750914395E+000, 6.6262955992280013E+000, 1.3015816678098536E+001, 1.2980631852167008E+001, 2.0238801442923585E+004, 6.9999999999919194E-001, 2.8000000000080832E-001, 1.9999999999999796E-002, 1.5785882921489802E+000, 6.4193693435954857E-001, 3.5288706710890530E-006, 4.9912126409282665E-015, 2.1554484552777950E-001, 2.1554484552777950E-001, 3.3700224383430133E-001, 2.1554484585007117E-001 
473, 9.9141495872526209E-001, 5.2366432174170396E-001, -1.7642030524122883E+000, 6.6284849979989238E+000, 1.3025972584971006E+001, 1.2990905554465186E+001, 2.0238618758254750E+004, 6.9999999999914897E-001, 2.8000000000085096E-001, 2.0000000000000018E-002, 1.5787818318817937E+000, 6.3990263984278306E-001, 3.7114467234394338E-006, 5.8434414680774567E-015, 2.1558821609469264E-001, 2.1558821609469264E-001, 3.3713633753595346E-001, 2.1558822203657349E-001 
474, 9.9126223946312486E-001, 5.2293359768198966E-001, -1.7521078199534701E+000, 6.6317826916073690E+000, 1.3041194553553629E+001, 1.3006297902497092E+001, 2.0238435393504878E+004, 6.9999999999908080E-001, 2.8000000000091935E-001, 1.9999999999999796E-002, 1.5790621428421010E+000, 6.3682140207993609E-001, 4.0032322063649859E-006, 7.4047500967194464E-015, 2.1562590753121738E-001, 2.1562590753121738E-001, 3.3733096849113964E-001, 2.1562592025281058E-001 
475, 9.9094666189463299E-001, 5.2145385995623872E-001, -1.7359634181217378E+000, 6.6361593660169511E+000, 1.3061481781402144E+001, 1.3026816969488960E+001, 2.0238054315753459E+004, 6.9999999999898166E-001, 2.8000000000101860E-001, 1.9999999999999796E-002, 1.5794450652513554E+000, 6.3284758435304178E-001, 4.4262448986857537E-006, 1.0132888311098676E-014, 2.1570850672026423E-001, 2.1570850672026423E-001, 3.3759769125419226E-001, 2.1570852736562593E-001 
476, 9.9062063952709967E-001, 5.1996575570569714E-001, -1.7198349505955357E+000, 6.6405345070539354E+000, 1.3081752634061363E+001, 1.3047317214068013E+001, 2.0237657639206904E+004, 6.9999999999887219E-001, 2.8000000000112790E-001, 1.9999999999999907E-002, 1.5798260909777937E+000, 6.2892139375593370E-001, 4.8925313166292166E-006, 1.3851222272771480E-014, 2.1580732987682455E-001, 2.1580732987682455E-001, 3.3786382365194267E-001, 2.1580734549761918E-001 
477, 9.9028386100900345E-001, 5.1846924864686983E-001, -1.7037236740134518E+000, 6.6449081695476817E+000, 1.3102007122400035E+001, 1.3067798659373778E+001, 2.0237244764716019E+004, 6.9999999999875140E-001, 2.8000000000124869E-001, 1.9999999999999907E-002, 1.5802051598530624E+000, 6.2502946898587652E-001, 5.4063585149728094E-006, 1.8913720748507544E-014, 2.1590892407981285E-001, 2.1590892407981285E-001, 3.3812880795845146E-001, 2.1590892298287490E-001 
478, 9.8993600853782460E-001, 5.1696430457942799E-001, -1.6876308239463118E+000, 6.6492803061694641E+000, 1.3122245189229345E+001, 1.3088261288253346E+001, 2.0236815118696650E+004, 6.9999999999861795E-001, 2.8000000000138214E-001, 1.9999999999999907E-002, 1.5805818493072004E+000, 6.2115898562024496E-001, 5.9723883437220993E-006, 2.5798778672841835E-014, 2.1600895719027630E-001, 2.1600895719027630E-001, 3.3839190842281264E-001, 2.1600894033668203E-001 
479, 9.8957675701274295E-001, 5.1545088776086245E-001, -1.6715566579913155E+000, 6.6536507899223638E+000, 1.3142466757568853E+001, 1.3108705087208895E+001, 2.0236368099452066E+004, 6.9999999999847073E-001, 2.8000000000152930E-001, 2.0000000000000018E-002, 1.5809560815682926E+000, 6.1729974063572535E-001, 6.5957261191344129E-006, 3.5152218570744202E-014, 2.1610368422661402E-001, 2.1610368422661402E-001, 3.3865223833424385E-001, 2.1610366267784545E-001 
480, 9.8920577324397818E-001, 5.1392896128920795E-001, -1.6555003792882843E+000, 6.6580194707675568E+000, 1.3162671761909225E+001, 1.3129130061180986E+001, 2.0235903053820388E+004, 6.9999999999830864E-001, 2.8000000000169151E-001, 1.9999999999999796E-002, 1.5813279238163034E+000, 6.1345308577229885E-001, 7.2819702099266665E-006, 4.7844977718384439E-014, 2.1619182189193412E-001, 2.1619182189193412E-001, 3.3890965079212831E-001, 2.1619181296832074E-001 
481, 9.8882271540465738E-001, 5.1239848920160735E-001, -1.6394609310958834E+000, 6.6623862357269390E+000, 1.3182860163377187E+001, 1.3149536230501310E+001, 2.0235419269102505E+004, 6.9999999999812934E-001, 2.8000000000187070E-001, 2.0000000000000018E-002, 1.5816970600703397E+000, 6.0962500440551259E-001, 8.0372545521940472E-006, 6.5050389909247564E-014, 2.1627492545147542E-001, 2.1627492545147542E-001, 3.3916586278669048E-001, 2.1627492525317268E-001 
482, 9.8842723264390531E-001, 5.1085943671149170E-001, -1.6234380284538530E+000, 6.6667510247457908E+000, 1.3203031952993035E+001, 1.3169923629744618E+001, 2.0234916002369948E+004, 6.9999999999793205E-001, 2.8000000000206793E-001, 2.0000000000000018E-002, 1.5820632711730445E+000, 6.0582114365394701E-001, 8.8682816829848940E-006, 8.8347437500790862E-014, 2.1635529033607112E-001, 2.1635529033607112E-001, 3.3942260851055778E-001, 2.1635529014760160E-001 
483, 9.8801896479660534E-001, 5.0931176725822902E-001, -1.6074319890813842E+000, 6.6711138229003790E+000, 1.3223187127307639E+001, 1.3190292284412257E+001, 2.0234392510295584E+004, 6.9999999999771456E-001, 2.8000000000228553E-001, 1.9999999999999907E-002, 1.5824271129238818E+000, 6.0204698754550279E-001, 9.7823732285625074E-006, 1.1985873663647843E-013, 2.1643509110812145E-001, 2.1643509110812145E-001, 3.3967961441751071E-001, 2.1643508532389857E-001 
484, 9.8759754314221149E-001, 5.0775544400546491E-001, -1.5914431950668995E+000, 6.6754746528681590E+000, 1.3243325657690198E+001, 1.3210642180650890E+001, 2.0233848042638318E+004, 6.9999999999747520E-001, 2.8000000000252495E-001, 1.9999999999999796E-002, 1.5827899507984584E+000, 5.9830810652123456E-001, 1.0787534484952908E-005, 1.6243485495885409E-013, 2.1651645639699280E-001, 2.1651645639699280E-001, 3.3993463152801345E-001, 2.1651644851256710E-001 
485, 9.8716259057886868E-001, 5.0619043067687453E-001, -1.5754715497194025E+000, 6.6798335712862738E+000, 1.3263447468711439E+001, 1.3230973243552464E+001, 2.0233281825532908E+004, 6.9999999999721119E-001, 2.8000000000278907E-001, 1.9999999999999796E-002, 1.5831519445236613E+000, 5.9461052067962683E-001, 1.1892530968693970E-005, 2.1990039896666964E-013, 2.1660157788574147E-001, 2.1660157788574147E-001, 3.4018571857375807E-001, 2.1660157851431289E-001 
486, 9.8671372226982645E-001, 5.0461669589453628E-001, -1.5595165868424250E+000, 6.6841906630344390E+000, 1.3283552403559522E+001, 1.3251285302134356E+001, 2.0232693030041817E+004, 6.9999999999692042E-001, 2.8000000000307967E-001, 1.9999999999999907E-002, 1.5835115877565697E+000, 5.9096062440756636E-001, 1.3106959265379776E-005, 2.9738197141164140E-013, 2.1669276276819349E-001, 2.1669276276819349E-001, 3.4043312561133082E-001, 2.1669277158799805E-001 
487, 9.8625054662338185E-001, 5.0303421801591952E-001, -1.5435779511092329E+000, 6.6885460351470618E+000, 1.3303640192397987E+001, 1.3271578057621369E+001, 2.0232080782258941E+004, 6.9999999999660034E-001, 2.8000000000339975E-001, 1.9999999999999907E-002, 1.5838671869212642E+000, 5.8736481220136216E-001, 1.4441311125762113E-005, 4.0174462396157183E-013, 2.1679235261521168E-001, 2.1679235261521168E-001, 3.4067917154523564E-001, 2.1679237037626664E-001 
488, 9.8577266608504521E-001, 5.0144298720654401E-001, -1.5276559199632180E+000, 6.6928998094101031E+000, 1.3323710425465109E+001, 1.3291851057236356E+001, 2.0231444180240629E+004, 6.9999999999624829E-001, 2.8000000000375186E-001, 1.9999999999999796E-002, 1.5842180937646972E+000, 5.8382933930144632E-001, 1.5907034018129695E-005, 5.4217191921265326E-013, 2.1690262929128998E-001, 2.1690262929128998E-001, 3.4092577040685196E-001, 2.1690265107654469E-001 
489, 9.8527967827740282E-001, 4.9984300639011042E-001, -1.5117520571071563E+000, 6.6972521109765246E+000, 1.3343762515684277E+001, 1.3312103657887734E+001, 2.0230782330470574E+004, 6.9999999999586093E-001, 2.8000000000413922E-001, 1.9999999999999796E-002, 1.5845656843355866E+000, 5.8036000902121188E-001, 1.7516580053923377E-005, 7.3093524406641425E-013, 2.1702573360105787E-001, 2.1702573360105787E-001, 3.4117279427100694E-001, 2.1702574014241335E-001 
490, 9.8477117761285859E-001, 4.9823429076758402E-001, -1.4958685352022238E+000, 6.7016030555855108E+000, 1.3363795652263020E+001, 1.3332334980546641E+001, 2.0230094402438939E+004, 6.9999999999543450E-001, 2.8000000000456549E-001, 2.0000000000000018E-002, 1.5849116150724811E+000, 5.7696244603646085E-001, 1.9283500963827365E-005, 9.8441503057037148E-013, 2.1716365631865864E-001, 2.1716365631865864E-001, 3.4141864681025197E-001, 2.1716364368340546E-001 
491, 9.8424675730632316E-001, 4.9661687038249769E-001, -1.4800074413163824E+000, 6.7059527280556512E+000, 1.3383808785659093E+001, 1.3352543900906561E+001, 2.0229379567177089E+004, 6.9999999999496620E-001, 2.8000000000503389E-001, 1.9999999999999907E-002, 1.5852562549905143E+000, 5.7363771579286815E-001, 2.1222558159360664E-005, 1.3244536631041556E-012, 2.1731748992075559E-001, 2.1731748992075559E-001, 3.4166138883739550E-001, 2.1731746752490139E-001 
492, 9.8370601005232405E-001, 4.9499079053579881E-001, -1.4641701605124449E+000, 6.7103011407283182E+000, 1.3403800628910695E+001, 1.3372729063346938E+001, 2.0228636955245795E+004, 6.9999999999445084E-001, 2.8000000000554914E-001, 2.0000000000000018E-002, 1.5855981879778744E+000, 5.7038044195503468E-001, 2.3349842621747018E-005, 1.7801436759412118E-012, 2.1748626043708871E-001, 2.1748626043708871E-001, 3.4190011045887864E-001, 2.1748624328127958E-001 
