zone,xi,theta,dtheta/dxi
800,4.914874,0.115987,-0.083103
801,4.921010,0.115477,-0.082905
802,4.927146,0.114968,-0.082708
803,4.933282,0.114461,-0.082512
804,4.939418,0.113954,-0.082316
805,4.945554,0.113449,-0.082121
806,4.951690,0.112945,-0.081927
807,4.957826,0.112443,-0.081733
808,4.963962,0.111941,-0.081540
809,4.970098,0.111441,-0.081347
810,4.976234,0.110942,-0.081155
811,4.982370,0.110444,-0.080964
812,4.988506,0.109947,-0.080773
813,4.994641,0.109451,-0.080583
814,5.000777,0.108957,-0.080393
815,5.006913,0.108464,-0.080204
816,5.013049,0.107971,-0.080016
817,5.019185,0.107480,-0.079828
818,5.025321,0.106991,-0.079641
819,5.031457,0.106502,-0.079454
820,5.037593,0.106014,-0.079268
821,5.043729,0.105528,-0.079083
822,5.049865,0.105043,-0.078898
823,5.056001,0.104559,-0.078713
824,5.062137,0.104076,-0.078530
825,5.068273,0.103594,-0.078347
826,5.074408,0.103113,-0.078164
827,5.080544,0.102634,-0.077982
828,5.086680,0.102155,-0.077801
829,5.092816,0.101678,-0.077620
830,5.098952,0.101201,-0.077440
831,5.105088,0.100726,-0.077260
832,5.111224,0.100252,-0.077081
833,5.117360,0.099779,-0.076902
834,5.123496,0.099307,-0.076724
835,5.129632,0.098837,-0.076547
836,5.135768,0.098367,-0.076370
837,5.141904,0.097898,-0.076193
838,5.148040,0.097431,-0.076018
839,5.154175,0.096964,-0.075842
840,5.160311,0.096499,-0.075668
841,5.166447,0.096035,-0.075494
842,5.172583,0.095571,-0.075320
843,5.178719,0.095109,-0.075147
844,5.184855,0.094648,-0.074975
845,5.190991,0.094188,-0.074803
846,5.197127,0.093729,-0.074631
847,5.203263,0.093271,-0.074460
848,5.209399,0.092814,-0.074290
849,5.215535,0.092359,-0.074120
850,5.221671,0.091904,-0.073951
851,5.227807,0.091450,-0.073782
852,5.233942,0.090997,-0.073614
853,5.240078,0.090546,-0.073446
854,5.246214,0.090095,-0.073279
855,5.252350,0.089645,-0.073113
856,5.258486,0.089197,-0.072946
857,5.264622,0.088749,-0.072781
858,5.270758,0.088302,-0.072616
859,5.276894,0.087857,-0.072451
860,5.283030,0.087412,-0.072287
861,5.289166,0.086969,-0.072124
862,5.295302,0.086526,-0.071961
863,5.301438,0.086085,-0.071798
864,5.307574,0.085644,-0.071636
865,5.313709,0.085205,-0.071475
866,5.319845,0.084766,-0.071314
867,5.325981,0.084328,-0.071153
868,5.332117,0.083892,-0.070993
869,5.338253,0.083456,-0.070834
870,5.344389,0.083022,-0.070675
871,5.350525,0.082588,-0.070516
872,5.356661,0.082155,-0.070358
873,5.362797,0.081724,-0.070201
874,5.368933,0.081293,-0.070044
875,5.375069,0.080863,-0.069887
876,5.381205,0.080434,-0.069731
877,5.387341,0.080006,-0.069575
878,5.393476,0.079579,-0.069420
879,5.399612,0.079154,-0.069266
880,5.405748,0.078729,-0.069112
881,5.411884,0.078304,-0.068958
882,5.418020,0.077881,-0.068805
883,5.424156,0.077459,-0.068652
884,5.430292,0.077038,-0.068500
885,5.436428,0.076618,-0.068348
886,5.442564,0.076198,-0.068197
887,5.448700,0.075780,-0.068046
888,5.454836,0.075362,-0.067896
889,5.460972,0.074946,-0.067746
890,5.467108,0.074530,-0.067596
891,5.473243,0.074115,-0.067448
892,5.479379,0.073701,-0.067299
893,5.485515,0.073288,-0.067151
